Pot,Treatment,Salt,Nutrient,Type,Species,Species_short,AboveBM,BelowBM
LSHN5,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,2.74,0.23
LSHN5,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,2.71,0.35
LSHN5,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,0.29,0.08
LSHN5,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,0.4,0.12
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,3.15,0.2
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,1.1,0.18
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,0.51,0.07
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,0.97,0.05
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,4.43,0.67
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,35.82,8.02
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,19.15,6.65
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,31.49,14.47
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,52.24,12.15
LSHN6,NSHN,no salinity,high nutrients,exotic,Conyza parva,CP,31.61,9.87
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,18.28,18.25
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,10.12,34.62
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,18.53,48.18
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,26.06,31.22
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,16.86,15.08
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,17.74,27.31
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,6.08,9.41
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.07,0.91
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,5.64,1.19
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,15.95,2.56
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.89,3.49
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,17.33,2.11
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,8.85,2.26
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,6.31,2.02
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.52,1.01
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.9,3.76
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,7.27,1.11
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,2.18,0.4
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.63,1.99
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,4.1,1.61
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,5.13,2.09
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,4.48,1.58
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,20.83,3.55
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,46.84,1.82
LSHN1,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,28.11,6.38
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,19.68,15.17
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,12.15,4.36
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,22.36,1.87
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,6.38,2.93
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,5.44,0.74
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,69.88,14.94
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,20.46,3.27
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,10.14,1.44
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,28.01,4.78
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,57.07,13.79
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.6,0.51
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1,0.23
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.55,0.34
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.94,0.1
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.47,0.39
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.61,0.14
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.69,0.1
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.42,0.1
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.28,0.11
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.92,0.22
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.42,0.18
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.97,0.23
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.76,0.14
LSHN2,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.32,0.2
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.44,0.36
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,2,0.19
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.89,0.66
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.88,0.49
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.84,0.17
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.45,0.26
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.67,0.2
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.32,0.25
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.56,0.26
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.24,0.62
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.59,0.21
LSHN3,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.97,0.34
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.6,0.48
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,0.23,0.94
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,2.27,0.36
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.28,0.15
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.23,0.28
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,31.3,24.08
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.17,5.42
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,41.64,12.43
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,22.44,3.17
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,13.42,8.99
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,4.49,27.89
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,14.44,19.87
LSHN4,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,22.5,9.9
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,47.14,3.52
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,34.14,12.12
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,30.01,12.43
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,46.78,18.02
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,6.38,78.65
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,11.91,43.31
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,12.71,30.45
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,15.05,23.16
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,14.62,19.47
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,18.66,53.84
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,16.48,37.22
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,15.66,51.39
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,14.92,56.65
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,14.22,57.8
LSHN5,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,12.36,40.61
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,20.99,58.28
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,17.82,39.68
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,18.61,27.5
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,17.88,57.84
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,20.43,24.41
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,15.65,52.06
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.67,1.62
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.33,1.89
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.47,2.61
LSHN6,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.66,3.16
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.8,1.86
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.11,3.44
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.32,2.64
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,2.57,2.16
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,3.33,1.29
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,11.44,3.06
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,2.05,1.84
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.88,3.34
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,1.8,2.98
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,4.17,2.61
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,4.68,2.25
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,11.52,11.09
LSHN7,NSHN,no salinity,high nutrients,exotic,Protasparagus aethiopicus,PA,26.55,47.79
HSLN1,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,4.67,2.27
HSLN2,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,64900,24060
HSLN3,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,21080,18380
HSLN4,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,5610,3450
HSLN5,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,430,140
HSLN6,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,49080,30680
HSLN7,HSNN,high salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,12280,13350
HSLN1,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,2680,490
HSLN2,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,16510,14450
HSLN3,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,13940,22930
HSLN4,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,5170,2880
HSLN5,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,2100,780
HSLN6,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,26360,11890
HSLN7,HSNN,high salinity,no nutrients,native,Selliera radicans,SR,11280,14420
HSLN1,HSNN,high salinity,no nutrients,native,Sueada australis,SA,1110,170
HSLN2,HSNN,high salinity,no nutrients,native,Sueada australis,SA,24410,6190
HSLN3,HSNN,high salinity,no nutrients,native,Sueada australis,SA,39390,30780
HSLN4,HSNN,high salinity,no nutrients,native,Sueada australis,SA,3830,3340
HSLN5,HSNN,high salinity,no nutrients,native,Sueada australis,SA,14070,560
HSLN6,HSNN,high salinity,no nutrients,native,Sueada australis,SA,26500,13610
HSLN7,HSNN,high salinity,no nutrients,native,Sueada australis,SA,40640,29180
HSLN1,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,0,420
HSLN2,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,9950,5000
HSLN3,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,15000,15780
HSLN4,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,5510,2740
HSLN5,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,1210,330
HSLN6,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,15880,4270
HSLN7,HSNN,high salinity,no nutrients,native,Tetragonia tetragonoides,TT,16120,15670
HSHN1,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,65610,17920
HSHN2,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,16180,14480
HSHN3,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,4440,2810
HSHN4,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,1340,160
HSHN5,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,45020,28550
HSHN6,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,22160,24760
HSHN7,HSHN,high salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,2160,1470
HSHN1,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,22760,12860
HSHN2,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,11460,15630
HSHN3,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,7430,4560
HSHN4,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,0,260
HSHN5,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,16960,7300
HSHN6,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,23810,24650
HSHN7,HSHN,high salinity,high nutrients,native,Selliera radicans,SR,7840,3100
HSHN1,HSHN,high salinity,high nutrients,native,Sueada australis,SA,34430,15960
HSHN2,HSHN,high salinity,high nutrients,native,Sueada australis,SA,43310,29880
HSHN3,HSHN,high salinity,high nutrients,native,Sueada australis,SA,4580,2320
HSHN4,HSHN,high salinity,high nutrients,native,Sueada australis,SA,3530,710
HSHN5,HSHN,high salinity,high nutrients,native,Sueada australis,SA,44800,12900
HSHN6,HSHN,high salinity,high nutrients,native,Sueada australis,SA,38160,28080
HSHN7,HSHN,high salinity,high nutrients,native,Sueada australis,SA,1400,870
HSHN1,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,15000,5880
HSHN2,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,24710,29650
HSHN3,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,2820,1650
HSHN4,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,3900,500
HSHN5,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,23640,13870
HSHN6,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,14120,21120
HSHN7,HSHN,high salinity,high nutrients,native,Tetragonia tetragonoides,TT,4260,1630
LSLN1,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,13800,10580
LSLN2,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,8170,2640
LSLN3,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,5820,730
LSLN4,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,44130,13920
LSLN5,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,22240,26330
LSLN6,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,3210,2490
LSLN7,NSNN,no salinity,no nutrients,native,Sarcocornia quinqueflora,SQ,2380,160
LSLN1,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,15210,13930
LSLN2,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,9080,4570
LSLN3,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,8650,750
LSLN4,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,22370,10820
LSLN5,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,14260,29210
LSLN6,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,8940,4990
LSLN7,NSNN,no salinity,no nutrients,native,Selliera radicans,SR,1730,0
LSLN1,NSNN,no salinity,no nutrients,native,Sueada australis,SA,21130,24690
LSLN2,NSNN,no salinity,no nutrients,native,Sueada australis,SA,5480,1790
LSLN3,NSNN,no salinity,no nutrients,native,Sueada australis,SA,3600,1580
LSLN4,NSNN,no salinity,no nutrients,native,Sueada australis,SA,23750,5840
LSLN5,NSNN,no salinity,no nutrients,native,Sueada australis,SA,31940,24410
LSLN6,NSNN,no salinity,no nutrients,native,Sueada australis,SA,230,1290
LSLN7,NSNN,no salinity,no nutrients,native,Sueada australis,SA,20560,1990
LSLN1,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,20910,25450
LSLN2,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,5250,2110
LSLN3,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,1570,170
LSLN4,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,14890,6530
LSLN5,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,18200,16220
LSLN6,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,3820,1650
LSLN7,NSNN,no salinity,no nutrients,native,Tetragonia tetragonoides,TT,8650,820
LSHN1,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,6510,2930
LSHN2,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,3180,1050
LSHN3,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,52760,28310
LSHN4,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,6010,4990
LSHN5,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,3800,1530
LSHN6,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,4070,1250
LSHN7,NSHN,no salinity,high nutrients,native,Sarcocornia quinqueflora,SQ,51570,31790
LSHN1,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,4340,2550
LSHN2,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,2150,670
LSHN3,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,15220,7730
LSHN4,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,19020,25460
LSHN5,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,6580,3300
LSHN6,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,1930,250
LSHN7,NSHN,no salinity,high nutrients,native,Selliera radicans,SR,21850,7650
LSHN1,NSHN,no salinity,high nutrients,native,Sueada australis,SA,5490,2540
LSHN2,NSHN,no salinity,high nutrients,native,Sueada australis,SA,4450,370
LSHN3,NSHN,no salinity,high nutrients,native,Sueada australis,SA,37120,10410
LSHN4,NSHN,no salinity,high nutrients,native,Sueada australis,SA,37050,23820
LSHN5,NSHN,no salinity,high nutrients,native,Sueada australis,SA,1680,1650
LSHN6,NSHN,no salinity,high nutrients,native,Sueada australis,SA,2580,200
LSHN7,NSHN,no salinity,high nutrients,native,Sueada australis,SA,26930,8960
LSHN1,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,3830,2110
LSHN2,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,2540,680
LSHN3,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,23090,9210
LSHN4,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,22820,24460
LSHN5,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,4720,1640
LSHN6,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,1170,230
LSHN7,NSHN,no salinity,high nutrients,native,Tetragonia tetragonoides,TT,17860,6680
